symbol,sector,industry
SBSW,Basic Materials,Gold
MMS,Industrials,Specialty Business Services
ORA,Utilities,Utilities—Renewable
TMHC,Consumer Cyclical,Residential Construction
AYI,Industrials,Electrical Equipment & Parts
X,Basic Materials,Steel
ATI,Industrials,Metal Fabrication
OGN,Healthcare,Drug Manufacturers—General
ESNT,Financial Services,Insurance—Specialty
TDC,Technology,Software—Infrastructure
ENLC,Energy,Oil & Gas Midstream
THO,Consumer Cyclical,Recreational Vehicles
INFA,Technology,Software—Infrastructure
OWL,Financial Services,Asset Management
YPF,Energy,Oil & Gas Integrated
PHI,Communication Services,Telecom Services
ABG,Consumer Cyclical,Auto & Truck Dealerships
PSN,Technology,Information Technology Services
ALSN,Consumer Cyclical,Auto Parts
AGI,Basic Materials,Gold
HOG,Consumer Cyclical,Recreational Vehicles
NSP,Industrials,Staffing & Employment Services
TRNO,Real Estate,REIT—Industrial
CNM,Industrials,Industrial Distribution
HRB,Consumer Cyclical,Personal Services
NJR,Utilities,Utilities—Regulated Gas
NFG,Energy,Oil & Gas Integrated
HE,Utilities,Utilities—Regulated Electric
VAC,Consumer Cyclical,Resorts & Casinos
BRBR,Consumer Defensive,Packaged Foods
VNT,Technology,Scientific & Technical Instruments
RYAN,,
CC,,
ASAN,,
MTH,,
MLI,,
FLS,,
NEWR,,
HOMB,,
DTM,,
SNDR,,
LTHM,,
ASH,,
JHG,,
CPRI,,
EVR,,
AL,,
HUN,,
KRG,,
MTG,Financial Services,Insurance—Specialty
AXS,Financial Services,Insurance—Specialty
TRTN,Industrials,Rental & Leasing Services
LPX,Industrials,Building Products & Equipment
DEN,Energy,Oil & Gas E&P
DNB,Financial Services,Financial Data & Stock Exchanges
CR,Industrials,Specialty Industrial Machinery
OGS,Utilities,Utilities—Regulated Gas
LPL,Technology,Consumer Electronics
VAL,Energy,Oil & Gas Equipment & Services
SNV,Financial Services,Banks—Regional
PRGO,Healthcare,Drug Manufacturers—Specialty & Generic
RIG,Energy,Oil & Gas Drilling
KEX,Industrials,Marine Shipping
NTCO,Consumer Defensive,Household & Personal Products
PDI,Financial Services,Asset Management
ZWS,Industrials,Pollution & Treatment Controls
BMI,Technology,Scientific & Technical Instruments
ESI,Basic Materials,Specialty Chemicals
ELAN,Healthcare,Drug Manufacturers—Specialty & Generic
HAE,Healthcare,Medical Instruments & Supplies
SWX,Utilities,Utilities—Regulated Gas
KNTK,Energy,Oil & Gas Midstream
RYN,Real Estate,REIT—Specialty
POR,Utilities,Utilities—Regulated Electric
WU,Financial Services,Credit Services
GATX,Industrials,Rental & Leasing Services
CPA,Industrials,Airlines
ENIC,Utilities,Utilities—Regulated Electric
ALIT,Technology,Software—Application
JOBY,Industrials,Airports & Air Services
AJRD,Industrials,Aerospace & Defense
RITM,Real Estate,REIT—Mortgage
FNB,Financial Services,Banks—Regional
AMN,Healthcare,Medical Care Facilities
TIXT,Technology,Software—Infrastructure
WAL,Financial Services,Banks—Regional
M,Consumer Cyclical,Department Stores
ENS,Industrials,Electrical Equipment & Parts
MSGS,Communication Services,Entertainment
MDU,Industrials,Conglomerates
BKH,Utilities,Utilities—Diversified
LEG,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
S,Technology,Software—Infrastructure
BOX,Technology,Software—Infrastructure
GEF,Consumer Cyclical,Packaging & Containers
BAK,Basic Materials,Chemicals
AI,Technology,Software—Application
FLR,Industrials,Engineering & Construction
FN,Technology,Electronic Components
THG,Financial Services,Insurance—Property & Casualty
CBT,Basic Materials,Specialty Chemicals
RDN,Financial Services,Insurance—Specialty
IRT,Real Estate,REIT—Residential
SUM,Basic Materials,Building Materials
CNMD,Healthcare,Medical Devices
SAM,Consumer Defensive,Beverages—Brewers
KBH,Consumer Cyclical,Residential Construction
TAL,Consumer Defensive,Education & Training Services
SQSP,Technology,Software—Infrastructure
ETRN,Energy,Oil & Gas Midstream
UGP,Energy,Oil & Gas Refining & Marketing
MGY,Energy,Oil & Gas E&P
AZEK,Industrials,Building Products & Equipment
BDC,Technology,Communication Equipment
LTH,Consumer Cyclical,Leisure
LNC,Financial Services,Insurance—Life
AB,Financial Services,Asset Management
DOCN,Technology,Software—Infrastructure
TDOC,Healthcare,Health Information Services
ESAB,Industrials,Metal Fabrication
NEU,Basic Materials,Specialty Chemicals
MAN,Industrials,Staffing & Employment Services
MP,Basic Materials,Other Industrial Metals & Mining
HHC,Real Estate,Real Estate—Diversified
SPXC,Industrials,Specialty Industrial Machinery
DNA,Healthcare,Biotechnology
GBCI,Financial Services,Banks—Regional
VSH,Technology,Semiconductors
CPG,Energy,Oil & Gas E&P
CABO,Communication Services,Telecom Services
R,Industrials,Rental & Leasing Services
AAP,Consumer Cyclical,Specialty Retail
SID,Basic Materials,Steel
JBT,Industrials,Specialty Industrial Machinery
CADE,Financial Services,Banks—Regional
NNI,Financial Services,Credit Services
SUN,Energy,Oil & Gas Refining & Marketing
TEX,Industrials,Farm & Heavy Construction Machinery
ATHM,Communication Services,Internet Content & Information
WTM,Financial Services,Insurance—Property & Casualty
SKY,,
CXM,,
FOUR,,
EPRT,,
SEAS,,
TGNA,,
FSS,,
MODG,,
HI,,
LU,,
SEM,,
KWR,,
GTES,,
AEL,,
ADNT,,
WNS,,
ASGN,,
AVNT,,
ASAI,,
HP,Energy,Oil & Gas Drilling
APLE,Real Estate,REIT—Hotel & Motel
ACA,Industrials,Engineering & Construction
FUL,Basic Materials,Specialty Chemicals
NCR,Technology,Information Technology Services
GPS,Consumer Cyclical,Apparel Retail
ALE,Utilities,Utilities—Diversified
KRC,Real Estate,REIT—Office
SM,Energy,Oil & Gas E&P
EVH,Healthcare,Health Information Services
CS,Financial Services,Banks—Diversified
INST,Technology,Software—Application
HEP,Energy,Oil & Gas Midstream
SR,Utilities,Utilities—Regulated Gas
TKC,Communication Services,Telecom Services
CWEN,Utilities,Utilities—Renewable
SMG,Basic Materials,Agricultural Inputs
HRI,Industrials,Rental & Leasing Services
DOC,Real Estate,REIT—Healthcare Facilities
CALX,Technology,Software—Application
EPR,Real Estate,REIT—Specialty
GPI,Consumer Cyclical,Auto & Truck Dealerships
BXMT,Real Estate,REIT—Mortgage
BSM,Energy,Oil & Gas E&P
UNF,Industrials,Specialty Business Services
FHI,Financial Services,Asset Management
GOLF,Consumer Cyclical,Leisure
AWR,Utilities,Utilities—Regulated Water
BCO,Industrials,Security & Protection Services
LAC,Basic Materials,Other Industrial Metals & Mining
IBP,Consumer Cyclical,Residential Construction
UAA,Consumer Cyclical,Apparel Manufacturing
TPH,Consumer Cyclical,Residential Construction
EURN,Energy,Oil & Gas Midstream
PAGS,Technology,Software—Infrastructure
PFSI,Financial Services,Mortgage Finance
HL,Basic Materials,Other Precious Metals & Mining
CUZ,Real Estate,REIT—Office
SPR,Industrials,Aerospace & Defense
FRO,Energy,Oil & Gas Midstream
PR,Energy,Oil & Gas E&P
OI,Consumer Cyclical,Packaging & Containers
GKOS,Healthcare,Medical Devices
MDC,Consumer Cyclical,Residential Construction
NSA,Real Estate,REIT—Industrial
AGO,Financial Services,Insurance—Specialty
DY,Industrials,Engineering & Construction
SXT,Basic Materials,Specialty Chemicals
JWN,Consumer Cyclical,Department Stores
RNG,Technology,Software—Application
CXT,Industrials,Specialty Industrial Machinery
MAIN,Financial Services,Asset Management
CWAN,Technology,Software—Application
ERF,Energy,Oil & Gas E&P
AVA,Utilities,Utilities—Diversified
MANU,Communication Services,Entertainment
CWT,Utilities,Utilities—Regulated Water
BE,Industrials,Electrical Equipment & Parts
TNL,Consumer Cyclical,Travel Services
NOMD,Consumer Defensive,Packaged Foods
ENOV,Industrials,Specialty Industrial Machinery
DQ,Technology,Semiconductor Equipment & Materials
YETI,Consumer Cyclical,Leisure
LCII,Consumer Cyclical,Recreational Vehicles
PK,Real Estate,REIT—Hotel & Motel
KOS,Energy,Oil & Gas E&P
BCC,Basic Materials,Building Materials
ABM,Industrials,Specialty Business Services
BNL,Real Estate,REIT—Diversified
UA,Consumer Cyclical,Apparel Manufacturing
WOR,Industrials,Metal Fabrication
ESMT,Technology,Software—Infrastructure
SPB,Consumer Defensive,Household & Personal Products
PWSC,Technology,Software—Application
AWI,Industrials,Building Products & Equipment
BB,,
LXP,Real Estate,REIT—Industrial
CRC,Energy,Oil & Gas E&P
VNO,Real Estate,REIT—Office
OR,Basic Materials,Gold
CCU,Consumer Defensive,Beverages—Brewers
ROG,Technology,Electronic Components
CNS,Financial Services,Asset Management
ENV,Technology,Software—Application
ERJ,Industrials,Aerospace & Defense
KMPR,Financial Services,Insurance—Property & Casualty
CBU,Financial Services,Banks—Regional
CHPT,Consumer Cyclical,Specialty Retail
ZGN,Consumer Cyclical,Apparel Manufacturing
FG,Financial Services,Insurance—Life
BTU,Energy,Thermal Coal
ARNC,Industrials,Metal Fabrication
BUR,Financial Services,Asset Management
AVAL,Financial Services,Banks—Regional
PBH,Healthcare,Drug Manufacturers—Specialty & Generic
TFPM,Basic Materials,Other Precious Metals & Mining
TV,Communication Services,Telecom Services
CNX,Energy,Oil & Gas E&P
AIN,Consumer Cyclical,Textile Manufacturing
KD,Technology,Information Technology Services
NOG,Energy,Oil & Gas E&P
AYX,Technology,Software—Application
GMS,Industrials,Building Products & Equipment
CEQP,Energy,Oil & Gas Midstream
THS,Consumer Defensive,Packaged Foods
HMY,Basic Materials,Gold
GNW,Financial Services,Insurance—Life
ITGR,Healthcare,Medical Devices
QS,Consumer Cyclical,Auto Parts
CVI,Energy,Oil & Gas Refining & Marketing
SITC,Real Estate,REIT—Retail
CRK,Energy,Oil & Gas E&P
MC,Financial Services,Capital Markets
GHC,Consumer Defensive,Education & Training Services
IHS,Communication Services,Telecom Services
SIG,Consumer Cyclical,Luxury Goods
TR,Consumer Defensive,Confectioners
OFC,Real Estate,REIT—Office
SHAK,,
MATX,,
IFS,,
CNO,,
KFY,,
MCW,,
STNG,,
RLX,,
CBZ,,
JOE,,
LAZ,,
NABL,,
WD,,
BHC,,
DAVA,,
ABR,,
WHD,,
GRBK,,
REZI,,
RXO,Industrials,Trucking
ASB,Financial Services,Banks—Regional
CRI,Consumer Cyclical,Apparel Retail
ESE,Technology,Scientific & Technical Instruments
OUT,Real Estate,REIT—Specialty
YELP,Communication Services,Internet Content & Information
AX,Financial Services,Banks—Regional
KAI,Industrials,Specialty Industrial Machinery
NPO,Industrials,Specialty Industrial Machinery
CRS,Industrials,Metal Fabrication
APAM,Financial Services,Asset Management
AMRC,Industrials,Engineering & Construction
BRC,Industrials,Security & Protection Services
KSS,Consumer Cyclical,Department Stores
PIPR,Financial Services,Capital Markets
TEO,Communication Services,Telecom Services
FL,Consumer Cyclical,Apparel Retail
TDW,Energy,Oil & Gas Equipment & Services
MAC,Real Estate,REIT—Retail
JXN,Financial Services,Insurance—Life
SFBS,Financial Services,Banks—Regional
MWA,Industrials,Specialty Industrial Machinery
LBRT,Energy,Oil & Gas Equipment & Services
HIW,Real Estate,REIT—Office
SJW,Utilities,Utilities—Regulated Water
ENR,Industrials,Electrical Equipment & Parts
EVTC,Technology,Software—Infrastructure
AGTI,Healthcare,Health Information Services
KW,Real Estate,Real Estate Services
HAYW,Industrials,Electrical Equipment & Parts
DBRG,Real Estate,Real Estate Services
GETY,Communication Services,Internet Content & Information
FTCH,Consumer Cyclical,Internet Retail
AEO,Consumer Cyclical,Apparel Retail
CPK,Utilities,Utilities—Regulated Gas
DKL,Energy,Oil & Gas Refining & Marketing
SKT,Real Estate,REIT—Retail
TCN,Real Estate,Real Estate Services
KTB,Consumer Cyclical,Apparel Manufacturing
APE,Communication Services,Entertainment
CSTM,Basic Materials,Aluminum
AMBP,Consumer Cyclical,Packaging & Containers
NHI,Real Estate,REIT—Healthcare Facilities
FBP,Financial Services,Banks—Regional
EQC,Real Estate,REIT—Office
FCPT,Real Estate,REIT—Retail
KMT,Industrials,Tools & Accessories
SIX,Consumer Cyclical,Leisure
CNK,Communication Services,Entertainment
LSPD,Technology,Software—Application
AMR,Basic Materials,Coking Coal
ITCL,Financial Services,Banks—Regional
CCS,Consumer Cyclical,Residential Construction
HASI,Real Estate,REIT—Specialty
MTRN,Basic Materials,Other Industrial Metals & Mining
EVEX,Industrials,Aerospace & Defense
SHO,Real Estate,REIT—Hotel & Motel
FUN,Consumer Cyclical,Leisure
DEI,Real Estate,REIT—Office
DOOR,Industrials,Building Products & Equipment
SCL,Basic Materials,Specialty Chemicals
WLYB,Communication Services,Publishing
AMK,Financial Services,Asset Management
WLY,Communication Services,Publishing
ALG,Industrials,Farm & Heavy Construction Machinery
BOOT,Consumer Cyclical,Apparel Retail
VIST,Energy,Oil & Gas E&P
PAM,Utilities,Utilities—Independent Power Producers
AUB,Financial Services,Banks—Regional
DAN,Consumer Cyclical,Auto Parts
EPC,Consumer Defensive,Household & Personal Products
YOU,Technology,Software—Application
NXE,Energy,Uranium
CEIX,Energy,Thermal Coal
IONQ,Technology,Computer Hardware
HTH,Financial Services,Banks—Regional
GFF,Industrials,Conglomerates
JKS,Technology,Solar
ARCH,Basic Materials,Coking Coal
MHO,Consumer Cyclical,Residential Construction
FSLY,Technology,Software—Application
PRMW,Consumer Defensive,Beverages—Non-Alcoholic
CPE,Energy,Oil & Gas E&P
CWK,Real Estate,Real Estate Services
B,Industrials,Specialty Industrial Machinery
TGLS,Basic Materials,Building Materials
BOWL,Consumer Cyclical,Leisure
HLIO,Industrials,Specialty Industrial Machinery
LVWR,Consumer Cyclical,Auto Manufacturers
STR,Energy,Oil & Gas E&P
DFH,Consumer Cyclical,Residential Construction
HTGC,Financial Services,Asset Management
CVNA,Consumer Cyclical,Auto & Truck Dealerships
PD,Technology,Software—Application
VET,Energy,Oil & Gas E&P
NOVA,Technology,Solar
XPRO,Energy,Oil & Gas Equipment & Services
WGO,Consumer Cyclical,Recreational Vehicles
NGVT,Basic Materials,Specialty Chemicals
VGR,Consumer Defensive,Tobacco
OSCR,Healthcare,Healthcare Plans
NEX,Energy,Oil & Gas Equipment & Services
BRFS,Consumer Defensive,Packaged Foods
IIPR,Real Estate,REIT—Industrial
USAC,Energy,Oil & Gas Equipment & Services
MSGE,Consumer Cyclical,Leisure
CTRE,Real Estate,REIT—Healthcare Facilities
COUR,Consumer Defensive,Education & Training Services
TROX,Basic Materials,Chemicals
TGS,Energy,Oil & Gas Integrated
ATGE,Consumer Defensive,Education & Training Services
AIR,Industrials,Aerospace & Defense
NS,Energy,Oil & Gas Midstream
ARCO,Consumer Cyclical,Restaurants
BTE,Energy,Oil & Gas E&P
GPOR,Energy,Oil & Gas E&P
HIMS,Consumer Defensive,Household & Personal Products
SDRL,Energy,Oil & Gas Drilling
GDV,Financial Services,Asset Management
HCC,Basic Materials,Coking Coal
TRN,Industrials,Railroads
MTX,,
SLVM,,
ZETA,,
FSR,,
INSW,,
BOH,,
LUMN,,
EGO,,
BIGZ,,
OII,,
BVN,,
BMEZ,,
WMK,,
PJT,,
PEB,,
LRN,,
SSTK,,
TALO,,
AESI,,
JBGS,Real Estate,REIT—Office
CAAP,Industrials,Airports & Air Services
RLJ,Real Estate,REIT—Hotel & Motel
DRH,Real Estate,REIT—Hotel & Motel
UE,Real Estate,REIT—Retail
PHR,Healthcare,Health Information Services
GVA,Industrials,Engineering & Construction
SLG,Real Estate,REIT—Office
GTY,Real Estate,REIT—Retail
CTOS,Industrials,Rental & Leasing Services
NUS,Consumer Defensive,Household & Personal Products
GOOS,Consumer Cyclical,Apparel Manufacturing
FORG,Technology,Software—Infrastructure
ANF,Consumer Cyclical,Apparel Retail
SGHC,Consumer Cyclical,Gambling
TGH,Industrials,Rental & Leasing Services
BKE,Consumer Cyclical,Apparel Retail
VLRS,Industrials,Airlines
GAB,Financial Services,Asset Management
BROS,Consumer Cyclical,Restaurants
SAVE,Industrials,Airlines
SXI,Industrials,Specialty Industrial Machinery
ERO,Basic Materials,Copper
ZIP,Industrials,Staffing & Employment Services
MOD,Consumer Cyclical,Auto Parts
BKU,Financial Services,Banks—Regional
PGTI,Industrials,Building Products & Equipment
MIR,Industrials,Specialty Industrial Machinery
BNRE,Financial Services,Insurance—Reinsurance
RES,Energy,Oil & Gas Equipment & Services
MCY,Financial Services,Insurance—Property & Casualty
BCAT,,
KAR,Consumer Cyclical,Auto & Truck Dealerships
BORR,Energy,Oil & Gas Drilling
FNA,Healthcare,Medical Devices
MLNK,Technology,Software—Application
SAFE,Real Estate,REIT—Diversified
BHVN,Healthcare,Biotechnology
AGM,Financial Services,Credit Services
SAH,Consumer Cyclical,Auto & Truck Dealerships
FLNG,Energy,Oil & Gas Midstream
QTWO,Technology,Software—Application
MEI,Technology,Electronic Components
ENVA,Financial Services,Credit Services
COMP,Technology,Software—Application
HBI,Consumer Cyclical,Apparel Manufacturing
NAPA,Consumer Defensive,Beverages—Wineries & Distilleries
PRG,Industrials,Rental & Leasing Services
ECAT,,
DK,Energy,Oil & Gas Refining & Marketing
RAMP,Technology,Software—Infrastructure
VRTV,Industrials,Conglomerates
SWI,Technology,Software—Infrastructure
PRIM,Industrials,Engineering & Construction
EAT,Consumer Cyclical,Restaurants
CLS,Technology,Electronic Components
IVT,Real Estate,REIT—Retail
YEXT,Technology,Software—Infrastructure
KN,Technology,Communication Equipment
EPAC,Industrials,Specialty Industrial Machinery
OMI,Healthcare,Medical Distribution
VSTO,Consumer Cyclical,Leisure
ZUO,Technology,Software—Infrastructure
AG,Basic Materials,Silver
NWN,Utilities,Utilities—Regulated Gas
OXM,Consumer Cyclical,Apparel Manufacturing
AROC,Energy,Oil & Gas Equipment & Services
VRE,Real Estate,REIT—Residential
ZIM,Industrials,Marine Shipping
TSLX,Financial Services,Asset Management
SAND          ,,
ETWO,Technology,Software—Application
RCUS,Healthcare,Biotechnology
TARO,Healthcare,Drug Manufacturers—Specialty & Generic
ARI,Real Estate,REIT—Mortgage
RQI,Financial Services,Asset Management
INT,Energy,Oil & Gas Refining & Marketing
CMTG,Real Estate,REIT—Mortgage
BBUC,Financial Services,Asset Management
CNNE,Consumer Cyclical,Restaurants
BFH,Financial Services,Credit Services
GSBD,Financial Services,Asset Management
CODI,Industrials,Conglomerates
SPNT,Financial Services,Insurance—Reinsurance
OEC,Basic Materials,Specialty Chemicals
RVT,Financial Services,Asset Management
TNC,Industrials,Specialty Industrial Machinery
CTS,Technology,Electronic Components
BBU,Industrials,Conglomerates
FCF,Financial Services,Banks—Regional
CMP,Basic Materials,Other Industrial Metals & Mining
PARR,Energy,Oil & Gas Refining & Marketing
USPH,Healthcare,Medical Care Facilities
TY,Financial Services,Asset Management
VVX,Industrials,Aerospace & Defense
PDO,Basic Materials,Independent Oil & Gas
VSCO,Consumer Cyclical,Apparel Retail
XHR,Real Estate,REIT—Hotel & Motel
FBK,Financial Services,Banks—Regional
ESTE,Energy,Oil & Gas E&P
ELME,Real Estate,REIT—Residential
JBI,Industrials,Building Products & Equipment
BMA,Financial Services,Banks—Regional
AZUL,Industrials,Airlines
PRO,Technology,Software—Application
EVRI,Consumer Cyclical,Gambling
BSTZ,Financial Services,Asset Management
LTC,Real Estate,REIT—Healthcare Facilities
LNN,Industrials,Farm & Heavy Construction Machinery
MBC,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
KEN,Utilities,Utilities—Independent Power Producers
AKR,Real Estate,REIT—Retail
DFIN,Financial Services,Capital Markets
NTB,Financial Services,Banks—Diversified
ETV,Financial Services,Asset Management
PFS,Financial Services,Banks—Regional
ALEX,Real Estate,REIT—Retail
RYI,Industrials,Metal Fabrication
LMND,Financial Services,Insurance—Property & Casualty
DEA,Real Estate,REIT—Office
USM,Communication Services,Telecom Services
WRBY,Healthcare,Medical Instruments & Supplies
LADR,Real Estate,REIT—Mortgage
FIGS,Consumer Cyclical,Apparel Manufacturing
MSC,Consumer Cyclical,Resorts & Casinos
DHT,Energy,Oil & Gas Midstream
TDCX,Industrials,Specialty Business Services
PX,Financial Services,Asset Management
DAC,Industrials,Marine Shipping
TWO,Real Estate,REIT—Mortgage
VZIO,Technology,Consumer Electronics
DOLE,Consumer Defensive,Farm Products
CGAU,Basic Materials,Gold
CWH,Consumer Cyclical,Auto & Truck Dealerships
OFG,,
SBH,,
FDP,,
HMN,,
AIV,,
MEG,,
ECVT,,
UTZ,,
DDD,,
MMI,,
JELD,,
HESM,,
WNC,,
GENI,,
ATUS,,
NBHC,,
CHGG,,
HKD,,
UVV,Consumer Defensive,Tobacco
TNK,Energy,Oil & Gas Midstream
FINV,Financial Services,Credit Services
PAY,Technology,Software—Infrastructure
HBM,Basic Materials,Copper
DO,Energy,Oil & Gas Drilling
LZB,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
MODN,Technology,Software—Application
GEL,Energy,Oil & Gas Midstream
USNA,Consumer Defensive,Packaged Foods
UNFI,Consumer Defensive,Food Distribution
EAF,Industrials,Electrical Equipment & Parts
DSL,Financial Services,Asset Management
RC,Real Estate,REIT—Mortgage
CARS,Consumer Cyclical,Auto & Truck Dealerships
AAT,Real Estate,REIT—Diversified
CIM,Real Estate,REIT—Mortgage
MD,Healthcare,Medical Care Facilities
SFL,Industrials,Marine Shipping
HLF,Consumer Defensive,Packaged Foods
STC,Financial Services,Insurance—Property & Casualty
AVNS,Healthcare,Medical Devices
NXRT,Real Estate,REIT—Residential
SG,Consumer Cyclical,Restaurants
OLO,Technology,Software—Application
FBRT,Real Estate,REIT—Mortgage
CLB,Energy,Oil & Gas Equipment & Services
RVLV,Consumer Cyclical,Internet Retail
GES,Consumer Cyclical,Apparel Retail
SSU,Consumer Cyclical,Specialty Retail
MFA,Real Estate,REIT—Mortgage
WWW,Consumer Cyclical,Footwear & Accessories
SPCE,Industrials,Aerospace & Defense
BST,Financial Services,Asset Management
ESRT,Real Estate,REIT—Diversified
PMT,Real Estate,REIT—Mortgage
RKT,Financial Services,Mortgage Finance
HNI,Industrials,Business Equipment & Supplies
DNOW,Energy,Oil & Gas Equipment & Services
KYN,Financial Services,Asset Management
LOB,Financial Services,Banks—Regional
CMRE,Industrials,Marine Shipping
HLX,Energy,Oil & Gas Equipment & Services
BBAR,Financial Services,Banks—Regional
SHCO,Consumer Cyclical,Lodging
TUYA,Technology,Software—Infrastructure
KIND,Communication Services,Internet Content & Information
SA,Basic Materials,Gold
GNL,Real Estate,REIT—Diversified
NTST,Real Estate,REIT—Retail
WT,Financial Services,Asset Management
CEPU,Utilities,Utilities—Regulated Electric
FOR,Real Estate,Real Estate—Development
GRND,Technology,Software—Application
PKST,Real Estate,REIT—Diversified
NIC,Financial Services,Banks—Regional
CXW,Industrials,Security & Protection Services
SEMR,Technology,Software—Application
GLP,Energy,Oil & Gas Midstream
ATEN,Technology,Software—Infrastructure
EIG,Financial Services,Insurance—Specialty
NOAH,Financial Services,Asset Management
AGRO,Consumer Defensive,Farm Products
FVRR,Communication Services,Internet Content & Information
CDE,Basic Materials,Gold
MUC,Financial Services,Asset Management
ARGO,Financial Services,Insurance—Property & Casualty
PRM,Basic Materials,Specialty Chemicals
FREY,Industrials,Electrical Equipment & Parts
KRO,Basic Materials,Specialty Chemicals
WTTR,Basic Materials,Specialty Chemicals
BHLB,Financial Services,Banks—Regional
PGRE,Real Estate,REIT—Office
MPLN,Healthcare,Health Information Services
FSM,Basic Materials,Gold
PAR,Technology,Software—Application
IMAX,Communication Services,Entertainment
GIC,Industrials,Industrial Distribution
AZZ,Industrials,Specialty Business Services
GDOT,Financial Services,Credit Services
SLCA,Energy,Oil & Gas Equipment & Services
NVGS,Energy,Oil & Gas Midstream
SBR,Energy,Oil & Gas E&P
ARR,Real Estate,REIT—Mortgage
DRD,Basic Materials,Gold
LC,Financial Services,Credit Services
UMH,Real Estate,REIT—Residential
NBR,Energy,Oil & Gas Drilling
ASIX,Basic Materials,Chemicals
CIR,Industrials,Specialty Industrial Machinery
XPOF,Consumer Cyclical,Leisure
DIN,Consumer Cyclical,Restaurants
GAM,Financial Services,Asset Management
PLYM,Real Estate,REIT—Industrial
GBX,Industrials,Railroads
PTA,Financial Services,Asset Management
GB,Technology,Software—Infrastructure
BGS,Consumer Defensive,Packaged Foods
SPH,Utilities,Utilities—Regulated Gas
LPG,Energy,Oil & Gas Midstream
SPLP,Industrials,Conglomerates
WDH,Financial Services,Insurance—Diversified
OBK,Financial Services,Banks—Regional
BTZ,Financial Services,Asset Management
ALX,Real Estate,REIT—Retail
BSIG,Financial Services,Asset Management
CBD,Consumer Cyclical,Department Stores
CSR,Real Estate,REIT—Residential
GEO,Industrials,Security & Protection Services
PL,Industrials,Aerospace & Defense
MATV,Basic Materials,Specialty Chemicals
LICY,Industrials,Waste Management
RGR,Industrials,Aerospace & Defense
PRLB,Industrials,Metal Fabrication
FSCO,Financial Services,Asset Management
SPHR,Communication Services,Entertainment
BFS,Real Estate,REIT—Retail
HY,Industrials,Farm & Heavy Construction Machinery
CHCT,Real Estate,REIT—Healthcare Facilities
KRP,,
ETW,,
RPT,,
UAN,,
RNP,,
EFC,,
AMPS,,
NX,,
AXL,,
PUMP,,
BHE,,
SII,,
STEM,,
UTL,,
DRQ,,
CAL,,
MED,,
PRS,,
PDM,,
ACEL,Consumer Cyclical,Gambling
CUBI,Financial Services,Banks—Regional
MUI,Financial Services,Asset Management
MQY,Financial Services,Asset Management
BCSF,Financial Services,Asset Management
BBDC,Financial Services,Credit Services
RSKD,Technology,Software—Application
TDS,Communication Services,Telecom Services
BRSP,Real Estate,REIT—Diversified
VTEX,Technology,Software—Application
TMST,Basic Materials,Steel
SCS,Industrials,Business Equipment & Supplies
THR,Industrials,Specialty Industrial Machinery
BXC,Industrials,Industrial Distribution
MRC,Energy,Oil & Gas Equipment & Services
UBA,Real Estate,REIT—Retail
KREF,Real Estate,REIT—Mortgage
CII,Financial Services,Asset Management
ARLO,Industrials,Building Products & Equipment
GOTU,Consumer Defensive,Education & Training Services
SMP,Consumer Cyclical,Auto Parts
UBP,Real Estate,REIT—Retail
HQH,Financial Services,Asset Management
NVRO,Healthcare,Medical Devices
AMPX,Industrials,Electrical Equipment & Parts
HRT,Industrials,Staffing & Employment Services
ACHR,Industrials,Aerospace & Defense
GRNT,Energy,Oil & Gas E&P
AHH,Real Estate,REIT—Diversified
HGTY,Financial Services,Insurance—Property & Casualty
BCX,Financial Services,Asset Management
EVA,Basic Materials,Lumber & Wood Production
TGI,Industrials,Aerospace & Defense
EB,Technology,Software—Application
AC,Financial Services,Asset Management
LXU,Basic Materials,Chemicals
WLKP,Basic Materials,Chemicals
NAT,Industrials,Marine Shipping
PRA,Financial Services,Insurance—Property & Casualty
HUYA,Communication Services,Entertainment
BKD,Healthcare,Medical Care Facilities
REVG,Industrials,Farm & Heavy Construction Machinery
LOMA,Basic Materials,Building Materials
BDN,Real Estate,REIT—Office
VTLE,Energy,Oil & Gas E&P
CDRE,Industrials,Aerospace & Defense
MYE,Consumer Cyclical,Packaging & Containers
BLX,Financial Services,Banks—Regional
CBL,Real Estate,REIT—Retail
DLX,Communication Services,Advertising Agencies
MYI,Financial Services,Asset Management
BANC,Financial Services,Banks—Regional
EFXT,Energy,Oil & Gas Equipment & Services
HZO,Consumer Cyclical,Specialty Retail
BALY,Consumer Cyclical,Resorts & Casinos
INN,Real Estate,REIT—Hotel & Motel
HPP,Real Estate,REIT—Office
CAPL,Energy,Oil & Gas Refining & Marketing
RWT,Real Estate,REIT—Mortgage
PGRU,Communication Services,Internet Content & Information
VTS,Energy,Oil & Gas E&P
NEXA,Basic Materials,Other Industrial Metals & Mining
BY,Financial Services,Banks—Regional
ETD,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
CINT,Technology,Software—Infrastructure
CHS,Consumer Cyclical,Apparel Retail
GTN,Communication Services,Broadcasting
DM,Technology,Computer Hardware
GRC,Industrials,Specialty Industrial Machinery
HOUS,Real Estate,Real Estate Services
